Price,Beds,Bath,Sq.Ft
269000,2,2,880
1299000,3,3.5,2596
399900,2,2.5,1109
249000,1,1,591
185000,1,1,624
700000,3,2.5,1910
549900,2,3,1201
1149000,3,2.5,2063
234900,1,1,580
899000,2,2,885
549900,3,2,1232
455000,2,2,691
429900,3,2.5,1292
1327200,5,3.5,3076
442000,2,1.5,1392
330000,2,1,1032
535000,3,2.5,1106
839990,4,2.5,2610
898800,5,3.5,2310
658856,3,2.5,1610
665000,6,3.5,2139
825000,4,3,2270
2295000,3,3.5,2316
699900,4,2,1046
855000,5,3.5,2754
759000,3,2.5,2072
600000,3,2.5,1879
1899000,2,2.5,2705
309900,2,2,765
979900,4,3.5,2155
249649,2,1,1080
335000,1,1,652
214900,2,2,850
399000,2,2,947
185000,1,1,489
889900,2,2,2555
499000,2,2,1546
1200000,8,4,1988
875000,4,3.5,1450
839000,4,3.5,1931
539900,4,2.5,1172
549000,5,2,1112
499000,3,2.5,1593
1365420,3,3,1342
749900,3,2.5,2028
749900,5,3.5,1757
575000,5,2,970
356000,1,1,521
189900,1,1,629
2199900,3,4.5,3076
269000,2,1,749
249900,2,1,848
325000,3,2,891
609900,2,2,1022
489990,3,2.5,1346
570000,3,2.5,1454
700000,3,2.5,2294
559900,3,2.5,1557
859900,4,3,2423
419900,2,2,956
264999,2,1,670
669900,5,3.5,1509
399999,3,1.5,1176
549999,2,2.5,1290
235532,2,1,865
239000,2,1.5,484
650000,4,3.5,1324
627900,3,2.5,1634
765000,5,3.5,2166
323988,2,2,862
835000,5,2.5,2266
319900,2,2,802
594900,3,2.5,1640
699900,3,2.5,1689
750000,3,2.5,2021
549900,5,2.5,1248
649900,3,2.5,1780
295000,2,1,782
359900,1,1,733
1000000,4,2,974
472000,3,2.5,1368
674900,4,3,1155
879000,4,3.5,1823
650000,4,2,837
414900,2,2.5,1162
699900,5,3.5,1354
870000,4,3.5,2147
745000,4,3.5,1710
290000,3,1.5,1116
3599000,3,4.5,2217
249900,2,1.5,937
155000,1,1,590
229900,1,1,493
479900,2,1,650
339900,2,2,929
2199000,6,3.5,2769
739000,4,3.5,1981
829000,6,4,1163
1499000,4,4.5,3110
500000,4,1,2100
1599000,4,3.5,2184
450000,1,1.5,928
395000,2,2,820
569900,2,2,1214
445000,3,2,513
849900,5,3.5,1804
950000,4,2.5,2410
749900,4,3.5,1794
1100000,4,3.5,2454
1420000,4,4.5,3306
849900,3,2,720
599900,5,2.5,1083
335000,2,2,904
548000,5,2,980
997800,3,2.5,2540
684900,4,3.5,1811
569900,3,2.5,1512
700000,3,2.5,2323
575000,3,3,1474
580000,5,3,1841
438000,4,1.5,1122
539900,4,2,836
325000,3,2,905
388888,3,1,924
358900,2,1.5,1039
625000,3,2,942
849000,3,2,1170
299900,2,1,930
699900,3,2.5,2172
664000,4,2.5,1211
899000,4,3.5,2370
679900,3,3.5,1738
739000,4,3.5,1716
528000,3,2.5,1448
649000,5,2,1081
1200000,5,3.5,2772
360000,2,1.5,985
855000,5,3.5,1829
249900,3,1,860
765000,3,2.5,2297
209900,1,1,566
1383000,5,4.5,3093
825000,2,2,1080
524900,5,2.5,1138
664900,4,1.5,1228
550000,4,2,1045
779500,5,2,1050
875000,6,4.5,2936
299000,3,1.5,1140
580000,4,2.5,1260
499900,2,2.5,1088
999000,5,4,2675
989000,6,3.5,2649
749900,4,3,1355
659900,4,3.5,1609
899900,3,3.5,2060
1495000,4,4.5,1924
774900,4,1.5,1685
608990,2,2.5,1352
404900,2,2,1080
525000,3,2.5,1764
664900,3,3.5,1334
799900,4,3,1119
495000,2,2,867
549000,3,3.5,1446
370000,2,2.5,1166
279900,2,2,765
239900,1,1,590
849900,5,3.5,2625
413900,3,1.5,1041
620000,3,3,1090
239990,1,1,588
675000,4,3.5,1938
569000,3,2.5,1587
639888,4,3.5,1503
795000,2,2.5,1581
675000,3,2,1042
258800,1,1,665
519900,2,2,934
595000,3,2.5,1772
950000,4,3.5,2087
215000,2,1,862
1195000,5,3.5,2736
594900,3,2.5,1544
349900,2,2,976
1169900,4,3.5,1883
329900,2,2,965
449900,3,3.5,1100
539900,3,2,1009
799999,4,3.5,2250
480000,4,1.5,850
399900,1,1,481
468000,3,3.5,1271
544900,3,2.5,1396
519900,3,2.5,1267
599999,5,2.5,1161
732800,3,2.5,1206
369000,2,2,864
674900,4,3.5,1779
269900,2,1,758
489999,3,2.5,1214
499900,1,2,1050
247700,2,2,881
348000,2,1.5,849
549900,3,3.5,1353
299900,3,1.5,443
830000,5,3.5,1767
1095000,4,3.5,1611
1149900,4,3.5,1815
459900,3,2.5,1269
199900,2,1,832
329900,1,1,589
300000,2,1,1018
290000,2,2,837
374900,3,1,923
1200000,5,3.5,2816
535000,3,2.5,1348
599900,3,2.5,1236
999900,4,3.5,2174
349900,3,1.5,1286
609999,4,3.5,1578
199900,1,1,585
329900,3,1.5,1149
649900,4,2.5,1848
2590000,4,3.5,3325
245000,2,1,742
425000,3,2.5,1214
584900,3,2.5,1465
650000,3,2.5,1289
625000,3,3.5,1706
799900,5,3.5,2429
239900,1,1,583
599888,3,2.5,1581
574900,3,2.5,1533
1775000,5,3.5,2954
789000,4,3.5,1615
594900,4,2.5,1457
359900,4,2.5,1146
647500,4,3.5,1562
279900,1,1,578
179000,1,1,495
649888,5,3.5,2011
725000,4,4,1815
845000,3,3.5,2147
332750,2,2,876
564900,4,3.5,1470
445000,3,1.5,794
550000,4,3.5,1671
364000,2,2,845
795000,3,2.5,2268
428800,3,2.5,1394
1129999,4,3.5,2871
315000,1,1,586
329000,2,2,887
2599900,4,3.5,4469
499999,3,2.5,1340
1100000,4,3.5,2545
474900,2,2.5,1288
549900,3,2.5,1239
235000,2,1.5,535
1300000,7,4,1741
419900,3,1.5,1066
449900,4,2,1008
450000,2,2,1019
524800,4,1.5,1117
728800,3,3,1588
265000,1,1,853
329000,2,2,825
2350000,4,4.5,3551
470000,5,2,998
799900,5,3.5,2144
579900,5,2,1014
304900,4,2.5,1096
599000,5,2.5,1086
224900,2,1,997
779000,3,2,1656
449900,4,3.5,1060
255000,2,1,762
449000,3,1.5,1110
459900,4,2,647
290000,2,1,801
675000,4,2,1094
235900,1,1,433
1095000,4,3.5,2266
749000,4,3.5,2158
450000,3,1.5,1113
729900,6,3.5,2073
429900,2,2.5,1113
949900,6,3.5,2623
279900,1,1,708
1360000,5,3.5,3001
345000,3,2,891
439999,6,2,946
679900,3,2.5,1922
475000,5,2,1087
780000,5,4,2124
468000,2,2,922
669800,4,3.5,2023
749000,3,3,1416
1198900,5,3.5,1600
649000,4,3.5,2078
550000,3,1,1151
689000,5,3,1256
599000,4,3.5,1443
245000,2,1,760
895000,4,3.5,1823
550000,4,3,1252
790000,4,3,1323
1700000,4,3.5,2575
498000,4,2,939
299900,1,1.5,550
939900,5,4,2865
274800,2,2,696
600000,4,2.5,1651
1000000,3,2.5,2178
179000,1,1,579
250000,1,1,701
759900,3,2.5,2078
374900,2,2,1208
540000,2,1.5,1254
570000,4,3,1076
699000,5,2.5,2128
485000,2,2,905
949888,5,3.5,2282
489500,3,2.5,1142
499900,2,2,1473
829900,4,3.5,2210
749900,4,3.5,1529
585000,2,2.5,1089
615000,4,3.5,1638
690000,3,2.5,1600
260000,2,1,749
449900,2,2,1087
575000,3,2.5,1642
582000,3,2.5,1602
259900,2,2,829
1199900,4,3.5,1849
370000,3,1.5,1204
499888,2,2.5,1262
509900,3,3,1085
645000,3,2.5,1983
649900,4,3.5,1322
899900,4,3.5,1855
700000,3,3.5,1532
